annotator,image_id,
Deanna,accordion_rot_s_3,
Filippo,accordion_rot_s_3,
Deanna,box_hat_rot_s_10,
Filippo,box_hat_rot_s_10,
Deanna,box_hat_rot_s_9,
Filippo,box_hat_rot_s_9,
Deanna,briefcase_rot_s_5,
Filippo,briefcase_rot_s_5,
Deanna,briefcase_rot_s_6,
Filippo,briefcase_rot_s_6,
Deanna,cardboard_rot_s_10,
Filippo,cardboard_rot_s_10,
Deanna,cardboard_rot_s_9,
Filippo,cardboard_rot_s_9,
Deanna,chair_recliner_rot_s_1,
Filippo,chair_recliner_rot_s_1,
Deanna,chair_recliner_rot_s_2,
Filippo,chair_recliner_rot_s_2,
Deanna,chair_rot_s_10,
Filippo,chair_rot_s_10,
Deanna,chapstick_rot_s_1,
Filippo,chapstick_rot_s_1,
Deanna,chapstick_rot_s_2,
Filippo,chapstick_rot_s_2,
Deanna,clamp_rot_s_7,
Filippo,clamp_rot_s_7,
Deanna,clamp_rot_s_8,
Filippo,clamp_rot_s_8,
Deanna,cocktail_umbrella_rot_s_5,
Deanna,cocktail_umbrella_rot_s_6,
Deanna,container_open_rot_s_5,
Filippo,container_open_rot_s_5,
Deanna,container_open_rot_s_6,
Filippo,container_open_rot_s_6,
Deanna,controlbox_rot_s_10,
Filippo,controlbox_rot_s_10,
Deanna,controlbox_rot_s_9,
Filippo,controlbox_rot_s_9,
Deanna,extension_cord_s_8,
Filippo,extension_cord_s_8,
Deanna,fakeapple_rot_s_1,
Filippo,fakeapple_rot_s_1,
Deanna,fakeapple_rot_s_2,
Filippo,fakeapple_rot_s_2,
Deanna,fakeapple_rot_s_3,
Filippo,fakeapple_rot_s_3,
Deanna,fakeapple_rot_s_4,
Filippo,fakeapple_rot_s_4,
Deanna,flask_rot_s_7,
Filippo,flask_rot_s_7,
Deanna,flask_rot_s_8,
Filippo,flask_rot_s_8,
Deanna,fuel_tank_rot_s_7,
Filippo,fuel_tank_rot_s_7,
Deanna,fuel_tank_rot_s_8,
Filippo,fuel_tank_rot_s_8,
Deanna,gift_box_rot_s_5,
Filippo,gift_box_rot_s_5,
Deanna,gift_box_rot_s_6,
Filippo,gift_box_rot_s_6,
Deanna,gloves_rot_s_1,
Filippo,gloves_rot_s_1,
Deanna,gloves_rot_s_2,
Filippo,gloves_rot_s_2,
Deanna,gloves_rot_s_3,
Filippo,gloves_rot_s_3,
Deanna,gloves_rot_s_4,
Filippo,gloves_rot_s_4,
Deanna,hand_puppet_rot_s_7,
Filippo,hand_puppet_rot_s_7,
Deanna,hand_puppet_rot_s_8,
Filippo,hand_puppet_rot_s_8,
Deanna,handbag_rot_s_5,
Filippo,handbag_rot_s_5,
Deanna,handbag_rot_s_6,
Filippo,handbag_rot_s_6,
Deanna,holy_vase_rot_s_3,
Filippo,holy_vase_rot_s_3,
Deanna,holy_vase_rot_s_4,
Filippo,holy_vase_rot_s_4,
Deanna,kettle_rot_s_10,
Filippo,kettle_rot_s_10,
Deanna,kettle_rot_s_9,
Filippo,kettle_rot_s_9,
Deanna,lotion_rot_s_10,
Filippo,lotion_rot_s_10,
Deanna,lotion_rot_s_9,
Filippo,lotion_rot_s_9,
Deanna,measuring_spoons_rot_s_10,
Filippo,measuring_spoons_rot_s_10,
Deanna,measuring_spoons_rot_s_9,
Filippo,measuring_spoons_rot_s_9,
Deanna,nailpolish_rot_s_5,
Filippo,nailpolish_rot_s_5,
Deanna,nailpolish_rot_s_6,
Filippo,nailpolish_rot_s_6,
Deanna,notebook_rot_s_7,
Filippo,notebook_rot_s_7,
Deanna,notebook_rot_s_8,
Filippo,notebook_rot_s_8,
Deanna,notecards_rot_s_3,
Filippo,notecards_rot_s_3,
Deanna,notecards_rot_s_4,
Filippo,notecards_rot_s_4,
Filippo,packingtape_rot_s_10,
Deanna,packingtape_rot_s_7,
Filippo,packingtape_rot_s_7,
Deanna,packingtape_rot_s_8,
Filippo,packingtape_rot_s_8,
Filippo,packingtape_rot_s_9,
Deanna,pail_rot_s_10,
Filippo,pail_rot_s_10,
Deanna,pail_rot_s_9,
Filippo,pail_rot_s_9,
Deanna,phone_antique_rot_s_1,
Filippo,phone_antique_rot_s_1,
Deanna,phone_antique_rot_s_2,
Filippo,phone_antique_rot_s_2,
Deanna,pitcher_rot_s_10,
Filippo,pitcher_rot_s_10,
Deanna,pitcher_rot_s_9,
Filippo,pitcher_rot_s_9,
Deanna,razor_rot_s_5,
Filippo,razor_rot_s_5,
Deanna,razor_rot_s_6,
Filippo,razor_rot_s_6,
Deanna,scanner_rot_s_5,
Filippo,scanner_rot_s_5,
Deanna,scanner_rot_s_6,
Filippo,scanner_rot_s_6,
Deanna,sponge_rot_s_7,
Filippo,sponge_rot_s_7,
Deanna,sponge_rot_s_8,
Filippo,sponge_rot_s_8,
Deanna,sugar_bowl_rot_s_10,
Filippo,sugar_bowl_rot_s_10,
Deanna,sugar_bowl_rot_s_7,
Filippo,sugar_bowl_rot_s_7,
Deanna,sugar_bowl_rot_s_8,
Filippo,sugar_bowl_rot_s_8,
Deanna,sugar_bowl_rot_s_9,
Filippo,sugar_bowl_rot_s_9,
Filippo,takeout_container_rot_s_5,
Filippo,takeout_container_rot_s_6,
Deanna,tennis_racket_rot_s_5,
Filippo,tennis_racket_rot_s_5,
Deanna,tennis_racket_rot_s_6,
Filippo,tennis_racket_rot_s_6,
Deanna,tissues_rot_s_3,
Filippo,tissues_rot_s_3,
Deanna,tissues_rot_s_4,
Filippo,tissues_rot_s_4,
Deanna,tool_box_rot_s_3,
Filippo,tool_box_rot_s_3,
Deanna,tool_box_rot_s_4,
Filippo,tool_box_rot_s_4,
Deanna,towel_rot_s_5,
Filippo,towel_rot_s_5,
Deanna,towel_rot_s_6,
Filippo,towel_rot_s_6,
Deanna,truck_rot_s_10,
Filippo,truck_rot_s_10,
Deanna,truck_rot_s_7,
Filippo,truck_rot_s_7,
Deanna,truck_rot_s_8,
Filippo,truck_rot_s_8,
Deanna,truck_rot_s_9,
Filippo,truck_rot_s_9,
Deanna,umbrella_rot_s_10,
Filippo,umbrella_rot_s_10,
Deanna,umbrella_rot_s_9,
Filippo,umbrella_rot_s_9,
Deanna,usb_key_rot_s_1,
Filippo,usb_key_rot_s_1,
Deanna,usb_key_rot_s_2,
Filippo,usb_key_rot_s_2,
Deanna,usb_key_rot_s_3,
Filippo,usb_key_rot_s_3,
Deanna,usb_key_rot_s_4,
Filippo,usb_key_rot_s_4,
Deanna,valve_rot_s_1,
Deanna,valve_rot_s_2,
Filippo,valve_rot_s_2,
Deanna,valve_rot_s_3,
Filippo,valve_rot_s_3,
Deanna,valve_rot_s_4,
Filippo,valve_rot_s_4,
Deanna,watch_rot_s_1,
Filippo,watch_rot_s_1,
Deanna,watch_rot_s_2,
Filippo,watch_rot_s_2,
Deanna,watch_rot_s_3,?
