,kind,accuracy,accuracy_baseline,accuracy_higher_than_baseline
86,umbrella_rot1,0.5,0.25,1
42,jug_rot1,0.4,0.0,1
0,accordion_rot0,0.25,0.25,0
13,clamp_rot0,0.25,0.5,0
88,usb_key_rot1,0.25,0.0,1
87,usb_key_rot0,0.25,0.0,1
84,truck_rot1,0.25,0.0,1
64,razor_rot1,0.25,0.0,1
29,gift_box_rot0,0.25,0.0,1
23,fakeapple_rot0,0.25,0.0,1
92,watch_rot1,0.25,0.25,0
52,notebook_rot1,0.2,0.4,0
8,chair_recliner_rot0,0.2,0.0,1
57,pail_rot0,0.2,0.4,0
54,notecards_rot1,0.2,0.2,0
53,notecards_rot0,0.2,0.0,1
51,notebook_rot0,0.2,0.0,1
1,accordion_rot1,0.2,0.2,0
44,kettle_rot1,0.2,0.0,1
40,jacket_rot1,0.2,0.2,0
39,jacket_rot0,0.2,0.0,1
34,hand_puppet_rot1,0.2,0.4,0
33,hand_puppet_rot0,0.2,0.0,1
75,tennis_racket_rot0,0.2,0.0,1
60,phone_antique_rot1,0.2,0.0,1
9,chair_recliner_rot1,0.2,0.2,0
19,controlbox_rot0,0.2,0.0,1
3,box_hat_rot1,0.2,0.0,1
10,chair_rot0,0.2,0.2,0
62,pitcher_rot1,0.0,0.5,0
61,pitcher_rot0,0.0,0.0,0
91,watch_rot0,0.0,0.0,0
90,valve_rot1,0.0,0.25,0
63,razor_rot0,0.0,0.0,0
69,sugar_bowl_rot0,0.0,0.4,0
6,cardboard_rot0,0.0,0.0,0
65,scanner_rot0,0.0,0.0,0
66,scanner_rot1,0.0,0.0,0
67,sponge_rot0,0.0,0.4,0
2,box_hat_rot0,0.0,0.0,0
68,sponge_rot1,0.0,0.2,0
89,valve_rot0,0.0,0.0,0
83,truck_rot0,0.0,0.0,0
70,sugar_bowl_rot1,0.0,0.4,0
82,towel_rot1,0.0,0.0,0
4,briefcase_rot0,0.0,0.0,0
72,takeout_container_rot1,0.0,0.0,0
73,tape_dispenser_rot0,0.0,0.25,0
74,tape_dispenser_rot1,0.0,0.5,0
59,phone_antique_rot0,0.0,0.4,0
85,umbrella_rot0,0.0,0.0,0
5,briefcase_rot1,0.0,0.2,0
76,tennis_racket_rot1,0.0,0.2,0
77,theater_seats_rot0,0.0,0.2,0
78,theater_seats_rot1,0.0,0.2,0
79,tool_box_rot0,0.0,0.0,0
80,tool_box_rot1,0.0,0.0,0
81,towel_rot0,0.0,0.0,0
71,takeout_container_rot0,0.0,0.2,0
11,chapstick_rot0,0.0,0.0,0
58,pail_rot1,0.0,0.2,0
31,gloves_rot0,0.0,0.0,0
14,clamp_rot1,0.0,0.0,0
15,cocktail_umbrella_rot0,0.0,0.0,0
16,cocktail_umbrella_rot1,0.0,0.2,0
17,container_open_rot0,0.0,0.2,0
18,container_open_rot1,0.0,0.4,0
20,controlbox_rot1,0.0,0.0,0
21,extension_cord0,0.0,0.25,0
22,extension_cord_rot1,0.0,0.0,0
24,fakeapple_rot1,0.0,0.0,0
25,flask_rot0,0.0,0.0,0
26,flask_rot1,0.0,0.2,0
27,fuel_tank_rot0,0.0,0.0,0
28,fuel_tank_rot1,0.0,0.2,0
30,gift_box_rot1,0.0,0.0,0
32,gloves_rot1,0.0,0.0,0
56,packingtape_rot1,0.0,0.2,0
35,handbag_rot0,0.0,0.0,0
36,handbag_rot1,0.0,0.0,0
37,holy_vase_rot0,0.0,0.0,0
38,holy_vase_rot1,0.0,0.2,0
41,jug_rot0,0.0,0.0,0
7,cardboard_rot1,0.0,0.5,0
43,kettle_rot0,0.0,0.2,0
45,lotion_rot0,0.0,0.2,0
47,measuring_spoons_rot0,0.0,0.0,0
48,measuring_spoons_rot1,0.0,0.0,0
49,nailpolish_rot0,0.0,0.0,0
50,nailpolish_rot1,0.0,0.0,0
12,chapstick_rot1,0.0,0.4,0
55,packingtape_rot0,0.0,0.2,0
46,lotion_rot1,0.0,0.0,0
